<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20180409,00:00,116.7000000,117.2700000,111.1000000,112.2000000,67016260
MOEX,W,20180416,00:00,111.8200000,117.5800000,111.4000000,115.9900000,41965090
MOEX,W,20180423,00:00,116.0000000,120.9000000,113.6500000,119.6700000,43483330
MOEX,W,20180430,00:00,119.6700000,121.9000000,113.5000000,120.5300000,25838810
MOEX,W,20180507,00:00,121.2000000,123.0600000,118.2500000,123.0600000,29662810
MOEX,W,20180514,00:00,118.0200000,119.3100000,114.3500000,117.1600000,45380930
MOEX,W,20180521,00:00,116.9400000,117.7900000,113.1500000,114.8000000,24674430
MOEX,W,20180528,00:00,114.7900000,115.7600000,111.4700000,114.3000000,32556990
MOEX,W,20180604,00:00,114.9400000,115.8800000,107.5800000,108.6700000,33705060
MOEX,W,20180611,00:00,108.8600000,111.8500000,105.8400000,111.1800000,25409810
MOEX,W,20180618,00:00,110.5200000,112.2600000,106.2000000,111.6000000,34543410
MOEX,W,20180625,00:00,112.0000000,113.3000000,108.5800000,108.5800000,24721760
MOEX,W,20180702,00:00,109.0100000,110.0600000,105.6500000,108.0000000,34483960
MOEX,W,20180709,00:00,108.1600000,110.5000000,106.2000000,106.4100000,32662440
MOEX,W,20180716,00:00,106.7000000,107.4000000,102.5100000,103.7500000,30686620
MOEX,W,20180723,00:00,104.0100000,105.4100000,100.6300000,101.8000000,31413160
MOEX,W,20180730,00:00,101.8200000,103.7500000,99.8000000,102.0600000,41181590
MOEX,W,20180806,00:00,101.8000000,103.0000000,97.8000000,101.2400000,37685500
MOEX,W,20180813,00:00,100.5600000,102.7400000,99.5100000,100.0300000,25293030
MOEX,W,20180820,00:00,100.4900000,101.2500000,97.7200000,98.6300000,25191000
MOEX,W,20180827,00:00,98.9500000,99.2800000,95.0700000,98.0400000,38589150
MOEX,W,20180903,00:00,97.9000000,98.8800000,94.1300000,95.0000000,29750560
MOEX,W,20180910,00:00,95.0900000,98.5100000,94.5100000,97.0000000,28377020
MOEX,W,20180917,00:00,97.1900000,101.2000000,97.0000000,100.9500000,46762100
MOEX,W,20180924,00:00,100.7800000,103.0000000,96.2500000,97.2000000,47377520
MOEX,W,20181001,00:00,97.7000000,98.1000000,95.3500000,96.0200000,33101650
MOEX,W,20181008,00:00,96.4700000,96.7100000,91.7100000,93.4500000,30161180
MOEX,W,20181015,00:00,93.3900000,93.7500000,90.0500000,90.5800000,38324350
MOEX,W,20181022,00:00,90.6000000,90.8900000,83.1300000,83.5000000,61819280
MOEX,W,20181029,00:00,83.5900000,89.7400000,82.1000000,88.4600000,52494240
MOEX,W,20181105,00:00,89.0000000,93.2400000,88.5200000,88.8500000,41309320
MOEX,W,20181112,00:00,89.4600000,94.9200000,88.0500000,93.4500000,39730490
MOEX,W,20181119,00:00,93.5600000,94.0000000,88.8000000,90.8200000,40338490
MOEX,W,20181126,00:00,91.2000000,91.9400000,89.1400000,89.5200000,33373310
MOEX,W,20181203,00:00,90.0900000,91.4300000,88.2500000,88.4200000,31630120
MOEX,W,20181210,00:00,88.4100000,88.8300000,84.0000000,84.0000000,29692620
MOEX,W,20181217,00:00,83.9900000,85.2900000,83.0000000,83.3000000,44143180
MOEX,W,20181224,00:00,83.2000000,83.3900000,79.6600000,81.0000000,34692870
MOEX,W,20181231,00:00,80.9500000,84.8000000,80.7700000,84.0000000,15432670
MOEX,W,20190107,00:00,84.4400000,88.1900000,83.3300000,88.0000000,45659190
MOEX,W,20190114,00:00,87.5600000,93.6900000,86.4400000,93.3300000,68825060
MOEX,W,20190121,00:00,93.3900000,95.3900000,90.3600000,91.4900000,50426470
MOEX,W,20190128,00:00,91.3600000,94.2300000,89.5200000,93.5000000,46442470
MOEX,W,20190204,00:00,93.6600000,94.3800000,89.7000000,90.7000000,27909600
