<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20150406,00:00,74.6900000,77.7600000,71.0000000,73.5000000,39571570
MOEX,W,20150413,00:00,73.4600000,76.7000000,72.0100000,73.6000000,28069860
MOEX,W,20150420,00:00,74.0400000,76.4700000,73.1200000,75.2000000,24780770
MOEX,W,20150427,00:00,75.2200000,78.5000000,73.6900000,77.0000000,32530160
MOEX,W,20150504,00:00,76.7500000,79.5200000,72.0200000,73.4900000,29454620
MOEX,W,20150511,00:00,73.5500000,75.4600000,71.0500000,72.2500000,19925740
MOEX,W,20150518,00:00,72.8100000,75.6900000,71.0700000,75.1500000,22616410
MOEX,W,20150525,00:00,74.6500000,75.7700000,70.1000000,72.0000000,39736160
MOEX,W,20150601,00:00,72.3200000,74.2000000,69.9000000,72.8000000,36228130
MOEX,W,20150608,00:00,73.0000000,74.2900000,71.0000000,71.6500000,19327980
MOEX,W,20150615,00:00,71.8100000,73.0100000,70.4000000,71.1500000,21054040
MOEX,W,20150622,00:00,71.0100000,72.1000000,67.5500000,69.5900000,24965840
MOEX,W,20150629,00:00,69.2000000,69.8200000,68.0100000,68.5300000,19077600
MOEX,W,20150706,00:00,68.1900000,68.3000000,65.2700000,66.1000000,27778900
MOEX,W,20150713,00:00,66.3300000,72.4700000,66.1100000,71.8900000,27059420
MOEX,W,20150720,00:00,71.9700000,72.0200000,68.0200000,68.1100000,19640500
MOEX,W,20150727,00:00,68.2000000,71.6900000,66.8100000,70.5000000,27137610
MOEX,W,20150803,00:00,70.7500000,74.6900000,70.0100000,74.4000000,25317990
MOEX,W,20150810,00:00,74.4100000,76.8000000,72.2600000,76.1800000,25866180
MOEX,W,20150817,00:00,75.0000000,76.7400000,71.8000000,71.8000000,16448950
MOEX,W,20150824,00:00,70.0000000,74.5700000,66.5500000,74.0000000,33203070
MOEX,W,20150831,00:00,73.7100000,76.8000000,73.0500000,76.1000000,29141050
MOEX,W,20150907,00:00,76.2300000,80.8900000,73.0800000,80.5900000,35023000
MOEX,W,20150914,00:00,80.5100000,84.4800000,78.9200000,80.0000000,35793410
MOEX,W,20150921,00:00,80.6600000,81.7000000,78.2300000,80.4800000,24604860
MOEX,W,20150928,00:00,80.5000000,81.1600000,76.1500000,77.6000000,23153430
MOEX,W,20151005,00:00,78.0200000,86.4500000,77.7700000,85.4000000,31528430
MOEX,W,20151012,00:00,85.4000000,88.7100000,83.5000000,85.9000000,39146820
MOEX,W,20151019,00:00,85.7200000,92.8000000,84.1300000,92.0000000,29792140
MOEX,W,20151026,00:00,92.0000000,95.6800000,89.8400000,89.8400000,30616170
MOEX,W,20151102,00:00,90.0400000,93.5700000,90.0000000,90.8100000,22833090
MOEX,W,20151109,00:00,90.1200000,92.4000000,85.7600000,87.2400000,37264770
MOEX,W,20151116,00:00,86.9000000,95.7800000,86.7800000,92.8900000,45019210
MOEX,W,20151123,00:00,92.8900000,102.2300000,91.1000000,97.0000000,26018480
MOEX,W,20151130,00:00,96.7000000,98.6700000,92.0000000,93.8000000,29510260
MOEX,W,20151207,00:00,93.5300000,94.4500000,86.9500000,90.7000000,29730950
MOEX,W,20151214,00:00,90.2500000,96.8300000,88.7200000,94.8200000,31904380
MOEX,W,20151221,00:00,94.5000000,96.8800000,93.9000000,94.7200000,20850230
MOEX,W,20151228,00:00,94.7900000,95.1300000,91.4000000,91.4000000,8403730
MOEX,W,20160104,00:00,91.3200000,94.8700000,90.1200000,94.4400000,10615570
MOEX,W,20160111,00:00,92.3100000,97.0000000,86.5900000,86.5900000,37827760
MOEX,W,20160118,00:00,86.0000000,92.3000000,85.2000000,90.2800000,51411410
MOEX,W,20160125,00:00,90.7700000,96.0000000,89.3200000,95.9900000,36831700
MOEX,W,20160201,00:00,95.2500000,100.7000000,92.2000000,93.0300000,80202220
MOEX,W,20160208,00:00,93.3900000,94.0000000,87.7900000,89.5800000,47480570
MOEX,W,20160215,00:00,90.3000000,92.8900000,88.7500000,90.4800000,40435230
