<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,20210810,00:00,4966.2000000
YNDX,D,20210811,00:00,5036.4000000
YNDX,D,20210812,00:00,4984.4000000
YNDX,D,20210813,00:00,4975.0000000
YNDX,D,20210816,00:00,5093.0000000
YNDX,D,20210817,00:00,5065.2000000
YNDX,D,20210818,00:00,5055.2000000
YNDX,D,20210819,00:00,5065.6000000
YNDX,D,20210820,00:00,5061.0000000
YNDX,D,20210823,00:00,5104.0000000
YNDX,D,20210824,00:00,5159.0000000
YNDX,D,20210825,00:00,5129.6000000
YNDX,D,20210826,00:00,5219.0000000
YNDX,D,20210827,00:00,5308.0000000
YNDX,D,20210830,00:00,5352.4000000
YNDX,D,20210831,00:00,5615.0000000
YNDX,D,20210901,00:00,5699.6000000
YNDX,D,20210902,00:00,5636.4000000
YNDX,D,20210903,00:00,5732.6000000
YNDX,D,20210906,00:00,5804.0000000
YNDX,D,20210907,00:00,5690.8000000
YNDX,D,20210908,00:00,5712.6000000
YNDX,D,20210909,00:00,5735.0000000
YNDX,D,20210910,00:00,5868.4000000
YNDX,D,20210913,00:00,5939.2000000
YNDX,D,20210914,00:00,5973.0000000
YNDX,D,20210915,00:00,5892.0000000
YNDX,D,20210916,00:00,5872.0000000
YNDX,D,20210917,00:00,5828.4000000
YNDX,D,20210920,00:00,5785.0000000
YNDX,D,20210921,00:00,5771.8000000
YNDX,D,20210922,00:00,5755.0000000
YNDX,D,20210923,00:00,5885.0000000
YNDX,D,20210924,00:00,5850.4000000
YNDX,D,20210927,00:00,5949.2000000
YNDX,D,20210928,00:00,5788.0000000
YNDX,D,20210929,00:00,5762.4000000
YNDX,D,20210930,00:00,5804.6000000
YNDX,D,20211001,00:00,5766.4000000
YNDX,D,20211004,00:00,5504.0000000
YNDX,D,20211005,00:00,5594.2000000
YNDX,D,20211006,00:00,5694.2000000
YNDX,D,20211007,00:00,5705.2000000
YNDX,D,20211008,00:00,5701.6000000
YNDX,D,20211011,00:00,5622.2000000
YNDX,D,20211012,00:00,5549.0000000
YNDX,D,20211013,00:00,5553.8000000
YNDX,D,20211014,00:00,5518.0000000
YNDX,D,20211015,00:00,5427.2000000
YNDX,D,20211018,00:00,5488.8000000
YNDX,D,20211019,00:00,5480.0000000
YNDX,D,20211020,00:00,5420.2000000
YNDX,D,20211021,00:00,5390.0000000
YNDX,D,20211022,00:00,5325.8000000
YNDX,D,20211025,00:00,5383.0000000
YNDX,D,20211026,00:00,5309.6000000
YNDX,D,20211027,00:00,5573.8000000
YNDX,D,20211028,00:00,5823.0000000
YNDX,D,20211029,00:00,5879.2000000
YNDX,D,20211101,00:00,5890.0000000
YNDX,D,20211102,00:00,5942.4000000
YNDX,D,20211103,00:00,6027.0000000
YNDX,D,20211105,00:00,6120.0000000
YNDX,D,20211108,00:00,6161.0000000
YNDX,D,20211109,00:00,5990.4000000
YNDX,D,20211110,00:00,5857.8000000
YNDX,D,20211111,00:00,5966.6000000
YNDX,D,20211112,00:00,5970.2000000
YNDX,D,20211115,00:00,5928.4000000
YNDX,D,20211116,00:00,5936.4000000
YNDX,D,20211117,00:00,5931.6000000
YNDX,D,20211118,00:00,5993.8000000
YNDX,D,20211119,00:00,5968.8000000
YNDX,D,20211122,00:00,5450.0000000
YNDX,D,20211123,00:00,5571.0000000
YNDX,D,20211124,00:00,5542.2000000
YNDX,D,20211125,00:00,5552.8000000
YNDX,D,20211126,00:00,5380.0000000
YNDX,D,20211129,00:00,5407.0000000
YNDX,D,20211130,00:00,5359.4000000
YNDX,D,20211201,00:00,5330.8000000
YNDX,D,20211202,00:00,5255.0000000
YNDX,D,20211203,00:00,5100.6000000
YNDX,D,20211206,00:00,5068.0000000
YNDX,D,20211207,00:00,4992.0000000
YNDX,D,20211208,00:00,4932.2000000
YNDX,D,20211209,00:00,4853.6000000
YNDX,D,20211210,00:00,4664.0000000
YNDX,D,20211213,00:00,4560.0000000
YNDX,D,20211214,00:00,4586.4000000
YNDX,D,20211215,00:00,4511.6000000
YNDX,D,20211216,00:00,4609.6000000
YNDX,D,20211217,00:00,4630.2000000
YNDX,D,20211220,00:00,4474.8000000
YNDX,D,20211221,00:00,4578.8000000
YNDX,D,20211222,00:00,4488.4000000
YNDX,D,20211223,00:00,4410.6000000
YNDX,D,20211224,00:00,4424.8000000
YNDX,D,20211227,00:00,4467.8000000
YNDX,D,20211228,00:00,4482.0000000
YNDX,D,20211229,00:00,4418.8000000
YNDX,D,20211230,00:00,4569.4000000
YNDX,D,20220103,00:00,4515.2000000
YNDX,D,20220104,00:00,4479.8000000
YNDX,D,20220105,00:00,4275.0000000
YNDX,D,20220106,00:00,4226.6000000
YNDX,D,20220110,00:00,4196.4000000
YNDX,D,20220111,00:00,4338.2000000
YNDX,D,20220112,00:00,4393.2000000
YNDX,D,20220113,00:00,4168.0000000
YNDX,D,20220114,00:00,3938.6000000
YNDX,D,20220117,00:00,4075.6000000
YNDX,D,20220118,00:00,3769.0000000
YNDX,D,20220119,00:00,3701.8000000
YNDX,D,20220120,00:00,3669.2000000
YNDX,D,20220121,00:00,3490.0000000
YNDX,D,20220124,00:00,3345.0000000
YNDX,D,20220125,00:00,3409.2000000
YNDX,D,20220126,00:00,3364.8000000
YNDX,D,20220127,00:00,3405.2000000
YNDX,D,20220128,00:00,3448.4000000
YNDX,D,20220131,00:00,3717.6000000
YNDX,D,20220201,00:00,3724.0000000
YNDX,D,20220202,00:00,3675.0000000
YNDX,D,20220203,00:00,3517.0000000
YNDX,D,20220204,00:00,3502.4000000
YNDX,D,20220207,00:00,3468.0000000
YNDX,D,20220208,00:00,3624.2000000
YNDX,D,20220209,00:00,3763.0000000
YNDX,D,20220210,00:00,3805.0000000
YNDX,D,20220211,00:00,3429.8000000
YNDX,D,20220214,00:00,3471.4000000
YNDX,D,20220215,00:00,3953.2000000
YNDX,D,20220216,00:00,4044.8000000
YNDX,D,20220217,00:00,3772.6000000
YNDX,D,20220218,00:00,3475.4000000
YNDX,D,20220221,00:00,3065.8000000
YNDX,D,20220222,00:00,3154.8000000
YNDX,D,20220224,00:00,1990.0000000
YNDX,D,20220225,00:00,1931.2000000
YNDX,D,20220329,00:00,2020.0000000
YNDX,D,20220330,00:00,2154.0000000
YNDX,D,20220331,00:00,2259.0000000
YNDX,D,20220401,00:00,2325.0000000
YNDX,D,20220404,00:00,2285.0000000
YNDX,D,20220405,00:00,2158.4000000
YNDX,D,20220406,00:00,2070.8000000
YNDX,D,20220407,00:00,2130.0000000
YNDX,D,20220408,00:00,2115.0000000
YNDX,D,20220411,00:00,2097.0000000
YNDX,D,20220412,00:00,2074.0000000
YNDX,D,20220413,00:00,2088.0000000
YNDX,D,20220414,00:00,1945.2000000
YNDX,D,20220415,00:00,1979.6000000
YNDX,D,20220418,00:00,1880.2000000
YNDX,D,20220419,00:00,1857.6000000
YNDX,D,20220420,00:00,1789.8000000
YNDX,D,20220421,00:00,1646.0000000
YNDX,D,20220422,00:00,1692.0000000
YNDX,D,20220425,00:00,1520.8000000
YNDX,D,20220426,00:00,1600.8000000
